record_id,pod_id,workload_id,gpu_spec,priority_class,job_type,model_type,scenario_family,stream_task_type,gpu_request_norm,latency_deadline_ms,bandwidth_request_norm,semantic_requirements,qualitative_warnings,natural_language_request
ALI_00011,889523c1b7c62c7b30a308771fb93414,80260ae9ef2647b77f7a69e3715eb260,XPU-B,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00012,beec0835ec236af140e9dd997ce92cdb,missing_workload_00012,XPU-E,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00013,01505ce518fd28f76905e13ce6c6705b,missing_workload_00013,A10,HP,online_inference,cv,conflict_resolution,computer_vision_stream,0.11,70,0.2475,conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation."
ALI_00014,4087b47dd5f3a2555a00d141da1a2a80,missing_workload_00014,XPU-C,HP,online_inference,cv,unseen_task,computer_vision_stream,1.0,50,0.47,high_bandwidth;low_latency;priority_awareness,negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 1.00 GPU units and has observed duration 139.59 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness."
ALI_00015,6c9a6359cd60d53f36d5912a0b50de1f,missing_workload_00015,XPU-C,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 401.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00016,6054ba49d456f6abd74ee78fd161e760,missing_workload_00016,A10,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 571.50 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00017,25b81cd898d502266c6dfea1d29732df,b53ec9b716f23303a9e2aee064951646,L20,HP,online_inference,unknown,conflict_resolution,online_stream_inference,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1703.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation."
ALI_00018,ae96aa8ae0e9e382ab2959248a251c20,missing_workload_00018,L20,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1072.23 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00019,46809fedfeffe558d49af0bfd66c7525,missing_workload_00019,H20,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 504.19 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00020,aa96dad37ec440cdac0d8c0c35141325,missing_workload_00020,XPU-E,LP,offline_inference,genai,data_drift,generative_ai_stream_inference,1.0,160,0.35,drift_awareness;genai_acceleration,lower-urgency stream analytics may hide delayed workload bursts,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 8.92 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration."
ALI_00021,5ca4c363fb82345999ee70297ec9a66e,missing_workload_00021,XPU-E,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 659.13 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00022,382832bbea7097f35864ef51bf6e6ea2,missing_workload_00022,XPU-E,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 3.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00023,f0f31170122dde7f22bd97e64d92d574,missing_workload_00023,L20,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 329.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00024,5544cd30d30b705f4742914bb5e88bc9,06f47cd37995f170f60b0d42d8d3720f,XPU-A,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 75.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00025,16dedac60ac9b2bfa375f93ac88102ea,missing_workload_00025,XPU-A,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1080.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00026,35e9c76cc5cf4630e6f395ccaf425e72,missing_workload_00026,XPU-E,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 168.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00027,24c6088d6ebe054ae4de51d295ea2984,missing_workload_00027,XPU-E,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.16 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00028,7e2ed39fb1514dec99fbbe5b24ee1736,c0cb534b8d6f4597ca0099ee248abb1b,L20,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 575.77 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00029,0e64088bb661d4a521d7ba9e02b79931,missing_workload_00029,XPU-C,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 335.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00030,854db250f25d5be0fb7084650d4e1767,missing_workload_00030,A10,HP,online_inference,cv,conflict_resolution,computer_vision_stream,0.31,70,0.2975,conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.18 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation."
ALI_00031,05fca87129ec4433a4587f424064e971,c37b79b7e6d6d8c0f9d4287d024bf9a5,A100,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 9.46 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00032,269f036d442a5ab3239074dadbbcba30,missing_workload_00032,XPU-A,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.90 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00033,f140a2f8b18f76ad814026182b9ab987,missing_workload_00033,XPU-E,LP,offline_inference,genai,data_drift,generative_ai_stream_inference,1.0,160,0.35,drift_awareness;genai_acceleration,lower-urgency stream analytics may hide delayed workload bursts,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.06 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration."
ALI_00034,3dda2d990d04f68ed0f19ee5e94c22f9,missing_workload_00034,XPU-A,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.09 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00035,c4aacedc04f03bb09c8fde807ecd25d1,missing_workload_00035,A10,HP,online_inference,cv,conflict_resolution,computer_vision_stream,0.07,70,0.2375,conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation."
ALI_00036,f2f665d78514246c5ac98d973c24eede,missing_workload_00036,L20,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 15.45 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00037,b6869dec9e06417e3179e98551f14117,missing_workload_00037,XPU-E,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 4.00 GPU units and has observed duration 99.80 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00038,9fbca1446a819571181356963d3cdc13,d98a8123cee9ac5a58806feaa371fdf6,XPU-A,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 404.89 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00039,0bf949eac7bde188f43cff59109a185c,missing_workload_00039,H20,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 46.39 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00040,449e61b62df3f8febb4f5e08df1229ba,28634c70cec99c00fd185fd13fc085f3,A10,HP,online_inference,embedding,conflict_resolution,embedding_stream_service,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type embedding as an edge stream task. The workload requests 1.00 GPU units and has observed duration 678.11 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation."
ALI_00041,668750263ce6260b7f3995fd81f24c37,d0a57aca73c7a531f1ef30d17f614a3e,L20,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 375.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00042,a701c406975160cf6aee362f60f7b7a7,7c421c49c633914d9f7b7e572d73d711,XPU-A,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 397.82 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00043,639feff3b2b3fa36ae5d7f0aa10863f3,925ac27a3b42b2cec38a1258ad1f78a8,XPU-E,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 168.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00044,e627d07420d5a2f613791c9efe4d06e5,missing_workload_00044,XPU-E,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1015.17 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00045,1e4d415c552d9d031636c60eefc3a3ef,missing_workload_00045,A10,HP,online_inference,cv,conflict_resolution,computer_vision_stream,0.31,70,0.2975,conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 1.16 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation."
ALI_00046,e51267fe14160c80ac835d2fefba157b,4a914865ba34a02af3257687b85fd9f5,XPU-E,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1092.47 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00047,6e53509db298bacd9134abb80070f5a6,missing_workload_00047,XPU-C,HP,online_inference,genai,dynamic_workload,generative_ai_stream_inference,1.0,70,0.35,genai_acceleration;low_latency;priority_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 307.57 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness."
ALI_00048,dc66d3ce1f6ee7a6a02a69d225ac0c23,c3a04fb0cf5d8e4fe091e9f76725aa52,XPU-C,HP,online_inference,genai,dynamic_workload,generative_ai_stream_inference,1.0,70,0.35,genai_acceleration;low_latency;priority_awareness,,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 291.61 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness."
ALI_00049,97db35b88a0eca73f1748e0d85431c41,5515624dc6545615bf975aeac7ad6c8c,XPU-E,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 14.58 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00050,a15b74775f7eed6e518e2e7486f053fe,missing_workload_00050,XPU-E,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 15.89 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00051,2edce20949dbf69db9a0000a31db56e3,20279d2a6b4385b9d21f9bb20effb288,H20,HP,training,genai,dynamic_workload,generative_ai_stream_inference,1.0,70,0.35,genai_acceleration;low_latency;priority_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority training workload of type genai as an edge stream task. The workload requests 8.00 GPU units and has observed duration 394.77 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness."
ALI_00052,80ff434cbdcb8a2296b0a08cb833cb31,38c2ba3b6eb3918dbee7fde9b708fc68,XPU-E,LP,training,rec,unseen_task,recommendation_stream,0.5,160,0.225,user_profile_awareness,,"Deploy a lower-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 0.74 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: user_profile_awareness."
ALI_00053,5eacda6ee22f6e79fd5ffc7e728bc412,missing_workload_00053,A10,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 576.91 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00054,88b383fe1e5b414546208e32b9ce0da4,missing_workload_00054,XPU-A,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.74 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
