case_id,record_id,task_type,scenario_family,task_profile,contextual_warning,expected_cfp_intent,expected_cfp_keywords,expected_refinement_focus,expected_refinement_agents,expected_final_host,feasible_agents,unsafe_agents,cluster_utilities,has_feasible_host
S4B_017,ALI_00300,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.12 GPU units and has observed duration 0.58 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A4;A1,A3,A1;A2;A3;A4;A5,NONE,C1:0.572;C2:0.5319;C3:0.6902;C4:0.6014;C5:0.4148,True
S4B_018,ALI_00127,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4588;C2:0.4596;C3:0.528;C4:0.4338;C5:0.3676,True
S4B_019,ALI_00068,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.54 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4595;C2:0.4545;C3:0.6128;C4:0.524;C5:0.3023,True
S4B_020,ALI_00406,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.06 GPU units and has observed duration 20.59 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A1;A4,A3,A1;A2;A3;A4,A5,C1:0.4694;C2:0.4294;C3:0.588;C4:0.4539;C5:0.3248,True
S4B_021,ALI_00136,computer_vision_stream,unseen_task,"Deploy a lower-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 0.09 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth.",,bandwidth_aware_offloading,computer_vision_stream;unseen_task;high_bandwidth,bandwidth,A3;A1;A2,A3,A1;A2;A3;A4;A5,NONE,C1:0.5579;C2:0.5409;C3:0.6336;C4:0.5371;C5:0.4378,True
S4B_022,ALI_00144,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 3.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4067;C2:0.4467;C3:0.605;C4:0.5161;C5:0.2945,True
S4B_023,ALI_00651,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.06 GPU units and has observed duration 8.40 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A1;A4,A3,A1;A2;A3;A4,A5,C1:0.4699;C2:0.4299;C3:0.5883;C4:0.4543;C5:0.3378,True
S4B_024,ALI_00147,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4093;C2:0.4101;C3:0.4848;C4:0.3843;C5:0.3181,True
S4B_025,ALI_00167,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 6.12 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.2615;C2:0.3015;C3:0.4149;C4:0.326;C5:0.1295,True
S4B_026,ALI_00830,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority unknown workload of type genai as an edge stream task. The workload requests 0.19 GPU units and has observed duration 3.33 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,A3;A1,A3,A1;A3,A2;A4;A5,C1:0.465;C2:0.4249;C3:0.5832;C4:0.4944;C5:0.3203,True
S4B_027,ALI_00156,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.92 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.5198;C2:0.4986;C3:0.6648;C4:0.508;C5:0.4066,True
S4B_028,ALI_00201,recommendation_stream,conflict_resolution,"Deploy a high-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 24.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.3004;C2:0.3403;C3:0.499;C4:0.3648;C5:0.1432,True
S4B_029,ALI_00986,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.06 GPU units and has observed duration 7.86 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A1;A4,A3,A1;A2;A3;A4,A5,C1:0.5129;C2:0.4728;C3:0.6312;C4:0.4973;C5:0.3682,True
S4B_030,ALI_00199,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4318;C2:0.4326;C3:0.546;C4:0.4518;C5:0.3856,True
S4B_031,ALI_00204,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 0.54 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4668;C2:0.5067;C3:0.665;C4:0.5762;C5:0.3546,True
S4B_032,ALI_00207,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.93 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4155;C2:0.4163;C3:0.4848;C4:0.3905;C5:0.3243,True
S4B_033,ALI_00227,computer_vision_stream,conflict_resolution,"Deploy a lower-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.03 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, resource_reservation.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;resource_reservation,bandwidth;conflict,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3372;C2:0.3823;C3:0.4768;C4:0.4005;C5:0.1883,True
S4B_034,ALI_00237,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.95 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4376;C2:0.434;C3:0.5376;C4:0.4258;C5:0.342,True
S4B_035,ALI_00281,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 5.64 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3553;C2:0.3952;C3:0.5536;C4:0.4197;C5:0.1981,True
S4B_036,ALI_00242,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.31 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4344;C2:0.4352;C3:0.5208;C4:0.4094;C5:0.3432,True
S4B_037,ALI_00284,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 1.43 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4355;C2:0.4755;C3:0.6338;C4:0.545;C5:0.3233,True
S4B_038,ALI_00245,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.3764;C2:0.3728;C3:0.5214;C4:0.4096;C5:0.2808,True
S4B_039,ALI_00299,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3061;C2:0.3461;C3:0.5048;C4:0.4156;C5:0.2191,True
S4B_040,ALI_00262,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.86 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4028;C2:0.4036;C3:0.4896;C4:0.3778;C5:0.3116,True
S4B_041,ALI_00338,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4282;C2:0.4232;C3:0.5819;C4:0.4927;C5:0.2836,True
S4B_042,ALI_00288,computer_vision_stream,unseen_task,"Deploy a lower-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 0.30 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth.",,bandwidth_aware_offloading,computer_vision_stream;unseen_task;high_bandwidth,bandwidth,A3;A1;A4,A3,A1;A2;A3;A4;A5,NONE,C1:0.6623;C2:0.6002;C3:0.693;C4:0.6414;C5:0.5422,True
S4B_043,ALI_00350,computer_vision_stream,conflict_resolution,"Deploy a lower-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 0.23 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, resource_reservation.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;resource_reservation,bandwidth;conflict,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4106;C2:0.4557;C3:0.5952;C4:0.5189;C5:0.2617,True
S4B_044,ALI_00296,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4766;C2:0.4554;C3:0.6216;C4:0.4648;C5:0.3634,True
S4B_045,ALI_00372,recommendation_stream,conflict_resolution,"Deploy a high-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 31.21 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3953;C2:0.4353;C3:0.5491;C4:0.4597;C5:0.2381,True
S4B_046,ALI_00324,recommendation_stream,unseen_task,"Deploy a high-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 29.11 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.3919;C2:0.3707;C3:0.537;C4:0.4251;C5:0.3237,True
S4B_047,ALI_00384,recommendation_stream,conflict_resolution,"Deploy a high-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 12.20 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3687;C2:0.4086;C3:0.5671;C4:0.4781;C5:0.2565,True
S4B_048,ALI_00345,recommendation_stream,unseen_task,"Deploy a lower-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 0.24 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: user_profile_awareness.",,resource_aware_offloading,recommendation_stream;unseen_task;user_profile_awareness,resource,A3;A4;A1,A3,A1;A3;A4,A2;A5,C1:0.4584;C2:0.4414;C3:0.5341;C4:0.4826;C5:0.3383,True
S4B_049,ALI_00404,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 3.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4235;C2:0.4635;C3:0.6218;C4:0.5329;C5:0.3113,True
