case_id,record_id,task_type,scenario_family,candidate_agent,candidate_cluster_type,task_profile,contextual_warning,expected_action,expected_reason,expected_safe_host,utility
S4_ALI_00003_C1,ALI_00003,generative_ai_stream_inference,dynamic_workload,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.1985
S4_ALI_00003_C2,ALI_00003,generative_ai_stream_inference,dynamic_workload,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.1135
S4_ALI_00003_C3,ALI_00003,generative_ai_stream_inference,dynamic_workload,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2793
S4_ALI_00003_C4,ALI_00003,generative_ai_stream_inference,dynamic_workload,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.1829
S4_ALI_00003_C5,ALI_00003,generative_ai_stream_inference,dynamic_workload,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.0665
S4_ALI_00004_C1,ALI_00004,generative_ai_stream_inference,conflict_resolution,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.1184
S4_ALI_00004_C2,ALI_00004,generative_ai_stream_inference,conflict_resolution,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.1583
S4_ALI_00004_C3,ALI_00004,generative_ai_stream_inference,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.3247
S4_ALI_00004_C4,ALI_00004,generative_ai_stream_inference,conflict_resolution,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.2278
S4_ALI_00004_C5,ALI_00004,generative_ai_stream_inference,conflict_resolution,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.0062
S4_ALI_00005_C1,ALI_00005,computer_vision_stream,conflict_resolution,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,conflict_risk,A3,0.2864
S4_ALI_00005_C2,ALI_00005,computer_vision_stream,conflict_resolution,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,resource_feasible,A3,0.3263
S4_ALI_00005_C3,ALI_00005,computer_vision_stream,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,best_utility_feasible,A3,0.4846
S4_ALI_00005_C4,ALI_00005,computer_vision_stream,conflict_resolution,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,resource_feasible,A3,0.3958
S4_ALI_00005_C5,ALI_00005,computer_vision_stream,conflict_resolution,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,A3,0.1292
S4_ALI_00006_C1,ALI_00006,generative_ai_stream_inference,data_drift,A1,general_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts; drift_sensitive_cluster_state,refuse,data_drift,NONE,0.2879
S4_ALI_00006_C2,ALI_00006,generative_ai_stream_inference,data_drift,A2,energy_efficient_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts; drift_sensitive_cluster_state,refuse,data_drift,NONE,0.2708
S4_ALI_00006_C3,ALI_00006,generative_ai_stream_inference,data_drift,A3,low_latency_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,refuse,resource_overload,NONE,0.4436
S4_ALI_00006_C4,ALI_00006,generative_ai_stream_inference,data_drift,A4,privacy_trusted_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,refuse,resource_overload,NONE,0.3470
S4_ALI_00006_C5,ALI_00006,generative_ai_stream_inference,data_drift,A5,burstable_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,refuse,resource_overload,NONE,0.2478
S4_ALI_00007_C1,ALI_00007,generative_ai_stream_inference,conflict_resolution,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability; resource_contention_risk,refuse,resource_overload,NONE,0.1376
S4_ALI_00007_C2,ALI_00007,generative_ai_stream_inference,conflict_resolution,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.1775
S4_ALI_00007_C3,ALI_00007,generative_ai_stream_inference,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2989
S4_ALI_00007_C4,ALI_00007,generative_ai_stream_inference,conflict_resolution,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2020
S4_ALI_00007_C5,ALI_00007,generative_ai_stream_inference,conflict_resolution,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability; resource_contention_risk,refuse,latency_risk,NONE,0.0055
S4_ALI_00008_C1,ALI_00008,recommendation_stream,unseen_task,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.2050
S4_ALI_00008_C2,ALI_00008,recommendation_stream,unseen_task,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,latency_risk,NONE,0.1388
S4_ALI_00008_C3,ALI_00008,recommendation_stream,unseen_task,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.3127
S4_ALI_00008_C4,ALI_00008,recommendation_stream,unseen_task,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.1932
S4_ALI_00008_C5,ALI_00008,recommendation_stream,unseen_task,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,latency_risk,NONE,0.0918
S4_ALI_00009_C1,ALI_00009,recommendation_stream,conflict_resolution,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.1226
S4_ALI_00009_C2,ALI_00009,recommendation_stream,conflict_resolution,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.1626
S4_ALI_00009_C3,ALI_00009,recommendation_stream,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.3289
S4_ALI_00009_C4,ALI_00009,recommendation_stream,conflict_resolution,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.2321
S4_ALI_00009_C5,ALI_00009,recommendation_stream,conflict_resolution,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.0104
S4_ALI_00010_C1,ALI_00010,generative_ai_stream_inference,conflict_resolution,A1,general_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.0106
S4_ALI_00010_C2,ALI_00010,generative_ai_stream_inference,conflict_resolution,A2,energy_efficient_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.0722
S4_ALI_00010_C3,ALI_00010,generative_ai_stream_inference,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.1952
S4_ALI_00010_C4,ALI_00010,generative_ai_stream_inference,conflict_resolution,A4,privacy_trusted_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.1189
S4_ALI_00010_C5,ALI_00010,generative_ai_stream_inference,conflict_resolution,A5,burstable_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,-0.0998
S4_ALI_00011_C1,ALI_00011,recommendation_stream,unseen_task,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.0973
S4_ALI_00011_C2,ALI_00011,recommendation_stream,unseen_task,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.0981
S4_ALI_00011_C3,ALI_00011,recommendation_stream,unseen_task,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2178
S4_ALI_00011_C4,ALI_00011,recommendation_stream,unseen_task,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.0723
S4_ALI_00011_C5,ALI_00011,recommendation_stream,unseen_task,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.0061
S4_ALI_00012_C1,ALI_00012,recommendation_stream,unseen_task,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2588
S4_ALI_00012_C2,ALI_00012,recommendation_stream,unseen_task,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.2376
S4_ALI_00012_C3,ALI_00012,recommendation_stream,unseen_task,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.3665
S4_ALI_00012_C4,ALI_00012,recommendation_stream,unseen_task,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,resource_overload,NONE,0.2470
S4_ALI_00012_C5,ALI_00012,recommendation_stream,unseen_task,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,refuse,latency_risk,NONE,0.1456
S4_ALI_00013_C1,ALI_00013,computer_vision_stream,conflict_resolution,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,conflict_risk,A3,0.4598
S4_ALI_00013_C2,ALI_00013,computer_vision_stream,conflict_resolution,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,resource_feasible,A3,0.4547
S4_ALI_00013_C3,ALI_00013,computer_vision_stream,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,best_utility_feasible,A3,0.6130
S4_ALI_00013_C4,ALI_00013,computer_vision_stream,conflict_resolution,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,accept,resource_feasible,A3,0.5242
